Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
"First Attack";"equalNumberOfPiecesOnTheBoard";23;true;;Static;;;;;;
"First Attack";"sizeOfTrack";20;false;"Track concept is not present";Static;;;;;;
"Forge";"lineLessOrEqualThanBoardSide";24;false;"Line concept is not present";Static;;;;;;
"Forge";"eachPieceReferenceNotDuplicated";27;false;"The game does not have any piece declared as Each";Static;;;;;;
"Forge";"pieceDeclaredAsEach";85;true;;Static;;;;;;
"Forge";"pieceDeclaredAsShared";38;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Forge";"pieceDeclaredAsNeutral";35;true;;Static;;;;;;
"Forge";"AllPlayerDeclared";43;true;;Static;;;;;;
"Forge";"equalNumberOfPiecesOnTheBoard";29;true;;Static;;;;;;
"Forge";"sizeOfTrack";22;false;"Track concept is not present";Static;;;;;;
"Game of Dwarfs";"lineLessOrEqualThanBoardSide";22;false;"Line concept is not present";Static;;;;;;
"Game of Dwarfs";"eachPieceReferenceNotDuplicated";20;false;"The game does not have any piece declared as Each";Static;;;;;;
"Game of Dwarfs";"pieceDeclaredAsEach";65;false;"The game does not have any piece declared as Each";Static;;;;;;
"Game of Dwarfs";"pieceDeclaredAsShared";25;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Game of Dwarfs";"pieceDeclaredAsNeutral";18;true;;Static;;;;;;
"Game of Dwarfs";"AllPlayerDeclared";19;true;;Static;;;;;;
"Game of Dwarfs";"equalNumberOfPiecesOnTheBoard";21;true;;Static;;;;;;
"Game of Dwarfs";"sizeOfTrack";25;false;"Track concept is not present";Static;;;;;;
"Gopher";"lineLessOrEqualThanBoardSide";62;false;"Line concept is not present";Static;;;;;;
"Gopher";"eachPieceReferenceNotDuplicated";68;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gopher";"pieceDeclaredAsEach";78;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Gopher";"pieceDeclaredAsShared";42;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Gopher";"pieceDeclaredAsNeutral";55;true;;Static;;;;;;
"Gopher";"AllPlayerDeclared";42;true;;Static;;;;;;
"Gopher";"equalNumberOfPiecesOnTheBoard";61;true;;Static;;;;;;
"Gopher";"sizeOfTrack";43;false;"Track concept is not present";Static;;;;;;
"Gurvan Xudag";"lineLessOrEqualThanBoardSide";14;false;"Line concept is not present";Static;;;;;;
"Gurvan Xudag";"eachPieceReferenceNotDuplicated";12;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gurvan Xudag";"pieceDeclaredAsEach";56;false;"The game does not have any piece declared as Each";Static;;;;;;
"Gurvan Xudag";"pieceDeclaredAsShared";13;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Gurvan Xudag";"pieceDeclaredAsNeutral";11;true;;Static;;;;;;
"Gurvan Xudag";"AllPlayerDeclared";13;true;;Static;;;;;;
"Gurvan Xudag";"equalNumberOfPiecesOnTheBoard";16;true;;Static;;;;;;
"Gurvan Xudag";"sizeOfTrack";16;false;"Track concept is not present";Static;;;;;;
"Hex Amazons";"lineLessOrEqualThanBoardSide";108;false;"Line concept is not present";Static;;;;;;
"Hex Amazons";"eachPieceReferenceNotDuplicated";91;false;"The game does not have any piece declared as Each";Static;;;;;;
"Hex Amazons";"pieceDeclaredAsEach";169;true;;Static;;;;;;
"Hex Amazons";"pieceDeclaredAsShared";81;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Hex Amazons";"pieceDeclaredAsNeutral";103;true;;Static;;;;;;
"Hex Amazons";"AllPlayerDeclared";85;true;;Static;;;;;;
"Hex Amazons";"equalNumberOfPiecesOnTheBoard";100;true;;Static;;;;;;
"Hex Amazons";"sizeOfTrack";111;false;"Track concept is not present";Static;;;;;;
"Ho-Bag Gonu";"lineLessOrEqualThanBoardSide";20;false;"Line concept is not present";Static;;;;;;
"Ho-Bag Gonu";"eachPieceReferenceNotDuplicated";19;false;"The game does not have any piece declared as Each";Static;;;;;;
"Ho-Bag Gonu";"pieceDeclaredAsEach";74;true;;Static;;;;;;
"Ho-Bag Gonu";"pieceDeclaredAsShared";21;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Ho-Bag Gonu";"pieceDeclaredAsNeutral";22;true;;Static;;;;;;
"Ho-Bag Gonu";"AllPlayerDeclared";19;true;;Static;;;;;;
"Ho-Bag Gonu";"equalNumberOfPiecesOnTheBoard";19;true;;Static;;;;;;
"Ho-Bag Gonu";"sizeOfTrack";18;false;"Track concept is not present";Static;;;;;;
"Isolation";"lineLessOrEqualThanBoardSide";22;false;"Line concept is not present";Static;;;;;;
"Isolation";"eachPieceReferenceNotDuplicated";24;false;"The game does not have any piece declared as Each";Static;;;;;;
"Isolation";"pieceDeclaredAsEach";73;true;;Static;;;;;;
"Isolation";"pieceDeclaredAsShared";25;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Isolation";"pieceDeclaredAsNeutral";29;true;;Static;;;;;;
"Isolation";"AllPlayerDeclared";24;true;;Static;;;;;;
"Isolation";"equalNumberOfPiecesOnTheBoard";25;true;;Static;;;;;;
"Isolation";"sizeOfTrack";32;false;"Track concept is not present";Static;;;;;;
"Janes Soppi (Symmetrical)";"lineLessOrEqualThanBoardSide";13;false;"Line concept is not present";Static;;;;;;
"Janes Soppi (Symmetrical)";"eachPieceReferenceNotDuplicated";11;false;"The game does not have any piece declared as Each";Static;;;;;;
"Janes Soppi (Symmetrical)";"pieceDeclaredAsEach";66;false;"The game does not have any piece declared as Each";Static;;;;;;
"Janes Soppi (Symmetrical)";"pieceDeclaredAsShared";13;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Janes Soppi (Symmetrical)";"pieceDeclaredAsNeutral";12;true;;Static;;;;;;
"Janes Soppi (Symmetrical)";"AllPlayerDeclared";12;true;;Static;;;;;;
"Janes Soppi (Symmetrical)";"equalNumberOfPiecesOnTheBoard";17;true;;Static;;;;;;
"Janes Soppi (Symmetrical)";"sizeOfTrack";12;false;"Track concept is not present";Static;;;;;;
"Jostle";"lineLessOrEqualThanBoardSide";48;false;"Line concept is not present";Static;;;;;;
"Jostle";"eachPieceReferenceNotDuplicated";47;false;"The game does not have any piece declared as Each";Static;;;;;;
"Jostle";"pieceDeclaredAsEach";66;true;;Static;;;;;;
"Jostle";"pieceDeclaredAsShared";40;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Jostle";"pieceDeclaredAsNeutral";43;true;;Static;;;;;;
"Jostle";"AllPlayerDeclared";38;true;;Static;;;;;;
"Jostle";"equalNumberOfPiecesOnTheBoard";54;true;;Static;;;;;;
"Jostle";"sizeOfTrack";54;false;"Track concept is not present";Static;;;;;;
"L Game";"lineLessOrEqualThanBoardSide";28;false;"Line concept is not present";Static;;;;;;
"L Game";"eachPieceReferenceNotDuplicated";27;false;"The game does not have any piece declared as Each";Static;;;;;;
"L Game";"pieceDeclaredAsEach";71;false;"The game does not have any piece declared as Each";Static;;;;;;
"L Game";"pieceDeclaredAsShared";28;false;"The game does not have any piece declared as Shared";Static;;;;;;
"L Game";"pieceDeclaredAsNeutral";25;true;;Static;;;;;;
"L Game";"AllPlayerDeclared";26;true;;Static;;;;;;
"L Game";"equalNumberOfPiecesOnTheBoard";27;true;;Static;;;;;;
"L Game";"sizeOfTrack";23;false;"Track concept is not present";Static;;;;;;
"Lewthwaite's Game";"lineLessOrEqualThanBoardSide";29;false;"Line concept is not present";Static;;;;;;
"Lewthwaite's Game";"eachPieceReferenceNotDuplicated";17;false;"The game does not have any piece declared as Each";Static;;;;;;
"Lewthwaite's Game";"pieceDeclaredAsEach";71;true;;Static;;;;;;
"Lewthwaite's Game";"pieceDeclaredAsShared";19;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Lewthwaite's Game";"pieceDeclaredAsNeutral";18;true;;Static;;;;;;
"Lewthwaite's Game";"AllPlayerDeclared";22;true;;Static;;;;;;
"Lewthwaite's Game";"equalNumberOfPiecesOnTheBoard";25;true;;Static;;;;;;
"Lewthwaite's Game";"sizeOfTrack";27;false;"Track concept is not present";Static;;;;;;
"Madelinette";"lineLessOrEqualThanBoardSide";13;false;"Line concept is not present";Static;;;;;;
"Madelinette";"eachPieceReferenceNotDuplicated";12;false;"The game does not have any piece declared as Each";Static;;;;;;
"Madelinette";"pieceDeclaredAsEach";65;true;;Static;;;;;;
"Madelinette";"pieceDeclaredAsShared";10;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Madelinette";"pieceDeclaredAsNeutral";12;true;;Static;;;;;;
"Madelinette";"AllPlayerDeclared";8;true;;Static;;;;;;
"Madelinette";"equalNumberOfPiecesOnTheBoard";12;true;;Static;;;;;;
"Madelinette";"sizeOfTrack";8;false;"Track concept is not present";Static;;;;;;
"Mu Torere";"lineLessOrEqualThanBoardSide";21;false;"Line concept is not present";Static;;;;;;
"Mu Torere";"eachPieceReferenceNotDuplicated";17;false;"The game does not have any piece declared as Each";Static;;;;;;
"Mu Torere";"pieceDeclaredAsEach";58;true;;Static;;;;;;
"Mu Torere";"pieceDeclaredAsShared";20;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Mu Torere";"pieceDeclaredAsNeutral";16;true;;Static;;;;;;
"Mu Torere";"AllPlayerDeclared";15;true;;Static;;;;;;
"Mu Torere";"equalNumberOfPiecesOnTheBoard";16;true;;Static;;;;;;
"Mu Torere";"sizeOfTrack";13;false;"Track concept is not present";Static;;;;;;
"NoGo";"lineLessOrEqualThanBoardSide";26;false;"Line concept is not present";Static;;;;;;
"NoGo";"eachPieceReferenceNotDuplicated";30;false;"The game does not have any piece declared as Each";Static;;;;;;
"NoGo";"pieceDeclaredAsEach";65;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"NoGo";"pieceDeclaredAsShared";29;false;"The game does not have any piece declared as Shared";Static;;;;;;
"NoGo";"pieceDeclaredAsNeutral";29;true;;Static;;;;;;
"NoGo";"AllPlayerDeclared";30;true;;Static;;;;;;
"NoGo";"equalNumberOfPiecesOnTheBoard";36;true;;Static;;;;;;
"NoGo";"sizeOfTrack";22;false;"Track concept is not present";Static;;;;;;
"Oumoul Kono";"lineLessOrEqualThanBoardSide";11;false;"Line concept is not present";Static;;;;;;
"Oumoul Kono";"eachPieceReferenceNotDuplicated";9;false;"The game does not have any piece declared as Each";Static;;;;;;
"Oumoul Kono";"pieceDeclaredAsEach";45;true;;Static;;;;;;
"Oumoul Kono";"pieceDeclaredAsShared";14;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Oumoul Kono";"pieceDeclaredAsNeutral";12;true;;Static;;;;;;
"Oumoul Kono";"AllPlayerDeclared";14;true;;Static;;;;;;
"Oumoul Kono";"equalNumberOfPiecesOnTheBoard";12;true;;Static;;;;;;
"Oumoul Kono";"sizeOfTrack";14;false;"Track concept is not present";Static;;;;;;
"Overflow";"lineLessOrEqualThanBoardSide";151;false;"Line concept is not present";Static;;;;;;
"Overflow";"eachPieceReferenceNotDuplicated";142;false;"The game does not have any piece declared as Each";Static;;;;;;
"Overflow";"pieceDeclaredAsEach";179;false;"The game does not have any piece declared as Each";Static;;;;;;
"Overflow";"pieceDeclaredAsShared";142;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Overflow";"pieceDeclaredAsNeutral";146;true;;Static;;;;;;
"Overflow";"AllPlayerDeclared";143;true;;Static;;;;;;
"Overflow";"equalNumberOfPiecesOnTheBoard";210;false;"Players do not have the same number of pieces";Static;;;;;;
"Overflow";"sizeOfTrack";220;false;"Track concept is not present";Static;;;;;;
"Pathway";"lineLessOrEqualThanBoardSide";18;false;"Line concept is not present";Static;;;;;;
"Pathway";"eachPieceReferenceNotDuplicated";15;false;"The game does not have any piece declared as Each";Static;;;;;;
"Pathway";"pieceDeclaredAsEach";47;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Pathway";"pieceDeclaredAsShared";22;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Pathway";"pieceDeclaredAsNeutral";21;true;;Static;;;;;;
"Pathway";"AllPlayerDeclared";22;true;;Static;;;;;;
"Pathway";"equalNumberOfPiecesOnTheBoard";23;true;;Static;;;;;;
"Pathway";"sizeOfTrack";15;false;"Track concept is not present";Static;;;;;;
"Pentomino";"lineLessOrEqualThanBoardSide";48;false;"Line concept is not present";Static;;;;;;
"Pentomino";"eachPieceReferenceNotDuplicated";29;false;"The game does not have any piece declared as Each";Static;;;;;;
"Pentomino";"pieceDeclaredAsEach";61;false;"The game does not have any piece declared as Each";Static;;;;;;
"Pentomino";"pieceDeclaredAsShared";27;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Pentomino";"pieceDeclaredAsNeutral";29;true;;Static;;;;;;
"Pentomino";"AllPlayerDeclared";28;true;;Static;;;;;;
"Pentomino";"equalNumberOfPiecesOnTheBoard";49;true;;Static;;;;;;
"Pentomino";"sizeOfTrack";40;false;"Track concept is not present";Static;;;;;;
"Pong Hau K'i";"lineLessOrEqualThanBoardSide";7;false;"Line concept is not present";Static;;;;;;
"Pong Hau K'i";"eachPieceReferenceNotDuplicated";9;false;"The game does not have any piece declared as Each";Static;;;;;;
"Pong Hau K'i";"pieceDeclaredAsEach";56;true;;Static;;;;;;
"Pong Hau K'i";"pieceDeclaredAsShared";6;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Pong Hau K'i";"pieceDeclaredAsNeutral";7;true;;Static;;;;;;
"Pong Hau K'i";"AllPlayerDeclared";6;true;;Static;;;;;;
"Pong Hau K'i";"equalNumberOfPiecesOnTheBoard";7;true;;Static;;;;;;
"Pong Hau K'i";"sizeOfTrack";8;false;"Track concept is not present";Static;;;;;;
"Quantum Leap";"lineLessOrEqualThanBoardSide";32;false;"Line concept is not present";Static;;;;;;
"Quantum Leap";"eachPieceReferenceNotDuplicated";28;false;"The game does not have any piece declared as Each";Static;;;;;;
"Quantum Leap";"pieceDeclaredAsEach";59;true;;Static;;;;;;
"Quantum Leap";"pieceDeclaredAsShared";41;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Quantum Leap";"pieceDeclaredAsNeutral";40;true;;Static;;;;;;
"Quantum Leap";"AllPlayerDeclared";31;true;;Static;;;;;;
"Quantum Leap";"equalNumberOfPiecesOnTheBoard";42;true;;Static;;;;;;
"Quantum Leap";"sizeOfTrack";46;false;"Track concept is not present";Static;;;;;;
"Ratio";"lineLessOrEqualThanBoardSide";29;false;"Line concept is not present";Static;;;;;;
"Ratio";"eachPieceReferenceNotDuplicated";29;false;"The game does not have any piece declared as Each";Static;;;;;;
"Ratio";"pieceDeclaredAsEach";57;false;"The game does not have any piece declared as Each";Static;;;;;;
"Ratio";"pieceDeclaredAsShared";21;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Ratio";"pieceDeclaredAsNeutral";28;true;;Static;;;;;;
"Ratio";"AllPlayerDeclared";25;true;;Static;;;;;;
"Ratio";"equalNumberOfPiecesOnTheBoard";20;true;;Static;;;;;;
"Ratio";"sizeOfTrack";23;false;"Track concept is not present";Static;;;;;;
"Snailtrail";"lineLessOrEqualThanBoardSide";18;false;"Line concept is not present";Static;;;;;;
"Snailtrail";"eachPieceReferenceNotDuplicated";18;false;"The game does not have any piece declared as Each";Static;;;;;;
"Snailtrail";"pieceDeclaredAsEach";46;true;;Static;;;;;;
"Snailtrail";"pieceDeclaredAsShared";18;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Snailtrail";"pieceDeclaredAsNeutral";19;true;;Static;;;;;;
"Snailtrail";"AllPlayerDeclared";16;true;;Static;;;;;;
"Snailtrail";"equalNumberOfPiecesOnTheBoard";15;true;;Static;;;;;;
"Snailtrail";"sizeOfTrack";18;false;"Track concept is not present";Static;;;;;;
