Game;Test Name;Duration (ms);Passed;Failure Message;Type
"El Cazador_test_results";"pieceDeclaredAsEach";46;true;;Static
"El Cazador_test_results";"pieceDeclaredAsShared";17;false;"The game does not have any piece declared as Shared";Static
"El Cazador_test_results";"pieceDeclaredAsNeutral";17;true;;Static
"El Cazador_test_results";"playerNotDeclared";16;true;;Static
"El Cazador_test_results";"equalNumberOfPiecesOnTheBoard";89;true;;Static
"El Cazador_test_results";"sizeOfTrack";18;false;"Track concept is not present";Static
"El Perro_test_results";"lineLessOrEqualThanBoardSide";30;false;"Line concept is not present";Static
"El Perro_test_results";"eachPieceReferenceNotDuplicated";27;true;;Static
"El Perro_test_results";"pieceDeclaredAsEach";62;true;;Static
"El Perro_test_results";"pieceDeclaredAsShared";27;false;"The game does not have any piece declared as Shared";Static
"El Perro_test_results";"pieceDeclaredAsNeutral";26;true;;Static
"El Perro_test_results";"playerNotDeclared";26;true;;Static
"El Perro_test_results";"equalNumberOfPiecesOnTheBoard";91;true;;Static
"El Perro_test_results";"sizeOfTrack";31;false;"Track concept is not present";Static
"El Zorro_test_results";"lineLessOrEqualThanBoardSide";25;false;"Line concept is not present";Static
"El Zorro_test_results";"eachPieceReferenceNotDuplicated";25;true;;Static
"El Zorro_test_results";"pieceDeclaredAsEach";53;true;;Static
"El Zorro_test_results";"pieceDeclaredAsShared";21;false;"The game does not have any piece declared as Shared";Static
"El Zorro_test_results";"pieceDeclaredAsNeutral";23;true;;Static
"El Zorro_test_results";"playerNotDeclared";25;true;;Static
"El Zorro_test_results";"equalNumberOfPiecesOnTheBoard";91;true;;Static
"El Zorro_test_results";"sizeOfTrack";22;false;"Track concept is not present";Static
"Fox and Geese_test_results";"lineLessOrEqualThanBoardSide";26;false;"Line concept is not present";Static
"Fox and Geese_test_results";"eachPieceReferenceNotDuplicated";25;true;;Static
"Fox and Geese_test_results";"pieceDeclaredAsEach";56;true;;Static
"Fox and Geese_test_results";"pieceDeclaredAsShared";20;false;"The game does not have any piece declared as Shared";Static
"Fox and Geese_test_results";"pieceDeclaredAsNeutral";19;true;;Static
"Fox and Geese_test_results";"playerNotDeclared";21;true;;Static
"Fox and Geese_test_results";"equalNumberOfPiecesOnTheBoard";88;true;;Static
"Fox and Geese_test_results";"sizeOfTrack";24;false;"Track concept is not present";Static
"Gala (Buginese)_test_results";"lineLessOrEqualThanBoardSide";29;false;"Line concept is not present";Static
"Gala (Buginese)_test_results";"eachPieceReferenceNotDuplicated";27;true;;Static
"Gala (Buginese)_test_results";"pieceDeclaredAsEach";61;true;;Static
"Gala (Buginese)_test_results";"pieceDeclaredAsShared";25;false;"The game does not have any piece declared as Shared";Static
"Gala (Buginese)_test_results";"pieceDeclaredAsNeutral";27;true;;Static
"Gala (Buginese)_test_results";"playerNotDeclared";24;true;;Static
"Gala (Buginese)_test_results";"equalNumberOfPiecesOnTheBoard";90;true;;Static
"Gala (Buginese)_test_results";"sizeOfTrack";32;false;"Track concept is not present";Static
"Gala_test_results";"lineLessOrEqualThanBoardSide";20;false;"Line concept is not present";Static
"Gala_test_results";"eachPieceReferenceNotDuplicated";17;false;"Ludeme Each for a Piece requires that the reference to Marker2 is not duplicated. Found 2 occurrences.";Static
"Gala_test_results";"pieceDeclaredAsEach";47;true;;Static
"Gala_test_results";"pieceDeclaredAsShared";16;false;"The game does not have any piece declared as Shared";Static
"Gala_test_results";"pieceDeclaredAsNeutral";15;true;;Static
"Gala_test_results";"playerNotDeclared";19;true;;Static
"Gala_test_results";"equalNumberOfPiecesOnTheBoard";82;false;"Players do not have the same number of pieces";Static
"Gala_test_results";"sizeOfTrack";21;false;"Track concept is not present";Static
"Gasetavl (Gedved)_test_results";"lineLessOrEqualThanBoardSide";26;false;"Line concept is not present";Static
"Gasetavl (Gedved)_test_results";"eachPieceReferenceNotDuplicated";23;true;;Static
"Gasetavl (Gedved)_test_results";"pieceDeclaredAsEach";66;true;;Static
"Gasetavl (Gedved)_test_results";"pieceDeclaredAsShared";23;false;"The game does not have any piece declared as Shared";Static
"Gasetavl (Gedved)_test_results";"pieceDeclaredAsNeutral";24;true;;Static
"Gasetavl (Gedved)_test_results";"playerNotDeclared";25;true;;Static
"Gasetavl (Gedved)_test_results";"equalNumberOfPiecesOnTheBoard";92;true;;Static
"Gasetavl (Gedved)_test_results";"sizeOfTrack";29;false;"Track concept is not present";Static
"Gasetavl_test_results";"lineLessOrEqualThanBoardSide";36;false;"Line concept is not present";Static
"Gasetavl_test_results";"eachPieceReferenceNotDuplicated";32;true;;Static
"Gasetavl_test_results";"pieceDeclaredAsEach";56;true;;Static
"Gasetavl_test_results";"pieceDeclaredAsShared";31;false;"The game does not have any piece declared as Shared";Static
"Gasetavl_test_results";"pieceDeclaredAsNeutral";28;true;;Static
"Gasetavl_test_results";"playerNotDeclared";27;true;;Static
"Gasetavl_test_results";"equalNumberOfPiecesOnTheBoard";97;true;;Static
"Gasetavl_test_results";"sizeOfTrack";39;false;"Track concept is not present";Static
"Gioco dell'Orso_test_results";"lineLessOrEqualThanBoardSide";40;false;"Line concept is not present";Static
"Gioco dell'Orso_test_results";"eachPieceReferenceNotDuplicated";32;true;;Static
"Gioco dell'Orso_test_results";"pieceDeclaredAsEach";111;true;;Static
"Gioco dell'Orso_test_results";"pieceDeclaredAsShared";30;false;"The game does not have any piece declared as Shared";Static
"Gioco dell'Orso_test_results";"pieceDeclaredAsNeutral";25;true;;Static
"Gioco dell'Orso_test_results";"playerNotDeclared";28;true;;Static
"Gioco dell'Orso_test_results";"equalNumberOfPiecesOnTheBoard";105;true;;Static
