Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
Fox and Geese;lineLessOrEqualThanBoardSide;29;false;Line concept is not present;Static;;;;;;
Fox and Geese;pieceDeclaredAsShared;24;false;The game does not have any piece declared as Shared;Static;;;;;;
Fox and Geese;pieceDeclaredAsNeutral;21;false;The game does not have any piece declared as Neutral;Static;;;;;;
Fox and Geese;pieceDeclaredAsEach;20;false;The game does not have any piece declared as Each;Static;;;;;;
Fox and Geese;equalNumberOfPiecesOnTheBoard;20;true;;Static;;;;;;
Fox and Geese;noUndeclaredPlayerReference;28;true;;Static;;;;;;
Fox and Geese;sizeOfTrack;22;false;Track concept is not present;Static;;;;;;
Gala (Buginese);lineLessOrEqualThanBoardSide;43;false;Line concept is not present;Static;;;;;;
Gala (Buginese);pieceDeclaredAsShared;30;false;The game does not have any piece declared as Shared;Static;;;;;;
Gala (Buginese);pieceDeclaredAsNeutral;28;false;The game does not have any piece declared as Neutral;Static;;;;;;
Gala (Buginese);pieceDeclaredAsEach;25;true;;Static;;;;;;
Gala (Buginese);equalNumberOfPiecesOnTheBoard;27;true;;Static;;;;;;
Gala (Buginese);noUndeclaredPlayerReference;26;true;;Static;;;;;;
Gala (Buginese);sizeOfTrack;28;false;Track concept is not present;Static;;;;;;
Gala;lineLessOrEqualThanBoardSide;20;false;Line concept is not present;Static;;;;;;
Gala;pieceDeclaredAsShared;32;false;The game does not have any piece declared as Shared;Static;;;;;;
Gala;pieceDeclaredAsNeutral;20;false;The game does not have any piece declared as Neutral;Static;;;;;;
Gala;pieceDeclaredAsEach;19;true;;Static;;;;;;
Gala;equalNumberOfPiecesOnTheBoard;21;false;Players do not have the same number of pieces;Static;;;;;;
Gala;noUndeclaredPlayerReference;19;true;;Static;;;;;;
Gala;sizeOfTrack;16;false;Track concept is not present;Static;;;;;;
Gasetavl (Gedved);lineLessOrEqualThanBoardSide;28;false;Line concept is not present;Static;;;;;;
Gasetavl (Gedved);pieceDeclaredAsShared;27;false;The game does not have any piece declared as Shared;Static;;;;;;
Gasetavl (Gedved);pieceDeclaredAsNeutral;24;false;The game does not have any piece declared as Neutral;Static;;;;;;
Gasetavl (Gedved);pieceDeclaredAsEach;28;false;The game does not have any piece declared as Each;Static;;;;;;
Gasetavl (Gedved);equalNumberOfPiecesOnTheBoard;24;true;;Static;;;;;;
Gasetavl (Gedved);noUndeclaredPlayerReference;29;true;;Static;;;;;;
Gasetavl (Gedved);sizeOfTrack;23;false;Track concept is not present;Static;;;;;;
Gasetavl;lineLessOrEqualThanBoardSide;29;false;Line concept is not present;Static;;;;;;
Gasetavl;pieceDeclaredAsShared;31;false;The game does not have any piece declared as Shared;Static;;;;;;
Gasetavl;pieceDeclaredAsNeutral;29;false;The game does not have any piece declared as Neutral;Static;;;;;;
Gasetavl;pieceDeclaredAsEach;27;false;The game does not have any piece declared as Each;Static;;;;;;
Gasetavl;equalNumberOfPiecesOnTheBoard;34;true;;Static;;;;;;
Gasetavl;noUndeclaredPlayerReference;27;true;;Static;;;;;;
Gasetavl;sizeOfTrack;28;false;Track concept is not present;Static;;;;;;
Gioco dell'Orso;lineLessOrEqualThanBoardSide;37;false;Line concept is not present;Static;;;;;;
Gioco dell'Orso;pieceDeclaredAsShared;34;false;The game does not have any piece declared as Shared;Static;;;;;;
Gioco dell'Orso;pieceDeclaredAsNeutral;31;false;The game does not have any piece declared as Neutral;Static;;;;;;
Gioco dell'Orso;pieceDeclaredAsEach;30;true;;Static;;;;;;
Gioco dell'Orso;equalNumberOfPiecesOnTheBoard;28;true;;Static;;;;;;
Gioco dell'Orso;noUndeclaredPlayerReference;27;true;;Static;;;;;;
Gioco dell'Orso;sizeOfTrack;30;false;Track concept is not present;Static;;;;;;
Go with the Floe;lineLessOrEqualThanBoardSide;32;false;Line concept is not present;Static;;;;;;
Go with the Floe;pieceDeclaredAsShared;26;false;The game does not have any piece declared as Shared;Static;;;;;;
Go with the Floe;pieceDeclaredAsNeutral;23;false;The game does not have any piece declared as Neutral;Static;;;;;;
Go with the Floe;pieceDeclaredAsEach;27;false;The game does not have any piece declared as Each;Static;;;;;;
Go with the Floe;equalNumberOfPiecesOnTheBoard;25;true;;Static;;;;;;
Go with the Floe;noUndeclaredPlayerReference;24;true;;Static;;;;;;
Go with the Floe;sizeOfTrack;22;false;Track concept is not present;Static;;;;;;
Haretavl;lineLessOrEqualThanBoardSide;11;false;Line concept is not present;Static;;;;;;
Haretavl;pieceDeclaredAsShared;9;false;The game does not have any piece declared as Shared;Static;;;;;;
Haretavl;pieceDeclaredAsNeutral;11;false;The game does not have any piece declared as Neutral;Static;;;;;;
Haretavl;pieceDeclaredAsEach;11;false;The game does not have any piece declared as Each;Static;;;;;;
Haretavl;equalNumberOfPiecesOnTheBoard;12;true;;Static;;;;;;
Haretavl;noUndeclaredPlayerReference;10;true;;Static;;;;;;
Haretavl;sizeOfTrack;11;false;Track concept is not present;Static;;;;;;
Hat Diviyan Keliya;lineLessOrEqualThanBoardSide;9;false;Line concept is not present;Static;;;;;;
Hat Diviyan Keliya;pieceDeclaredAsShared;10;false;The game does not have any piece declared as Shared;Static;;;;;;
Hat Diviyan Keliya;pieceDeclaredAsNeutral;10;false;The game does not have any piece declared as Neutral;Static;;;;;;
Hat Diviyan Keliya;pieceDeclaredAsEach;9;false;The game does not have any piece declared as Each;Static;;;;;;
Hat Diviyan Keliya;equalNumberOfPiecesOnTheBoard;12;true;;Static;;;;;;
Hat Diviyan Keliya;noUndeclaredPlayerReference;13;true;;Static;;;;;;
Hat Diviyan Keliya;sizeOfTrack;11;false;Track concept is not present;Static;;;;;;
Huli-Mane Ata;lineLessOrEqualThanBoardSide;11;false;Line concept is not present;Static;;;;;;
Huli-Mane Ata;pieceDeclaredAsShared;10;false;The game does not have any piece declared as Shared;Static;;;;;;
Huli-Mane Ata;pieceDeclaredAsNeutral;11;false;The game does not have any piece declared as Neutral;Static;;;;;;
